station_id,country,month,temperature,precipitation,wind_speed,humidity,lat,lon,date,year,month_num,month_name,temp_z
Laos,Indonesia,2025-01-01,24.980645161290322,70.28999999999999,1.3548495483870968,91.19354838709677,-8.1826,114.3188,2025-01-01,2025,1,Jan,-0.2888791294167555
Freetown,Sierra Leone,2025-07-01,24.270967741935483,59.54,2.8324599354838713,89.41935483870968,8.49,-13.2342,2025-07-01,2025,7,Jul,-1.4177851074428354
Bissau,Guinea-Bissau,2025-07-01,25.280645161290323,56.97,3.863830193548387,96.83870967741936,11.85,-15.5833,2025-07-01,2025,7,Jul,-0.3225130547343455
Yangon,Myanmar,2025-07-01,29.032258064516128,53.379999999999995,4.649678774193549,84.35483870967742,16.7833,96.1667,2025-07-01,2025,7,Jul,-0.5392699420309192
Port Royal,Jamaica,2024-11-01,26.348275862068967,51.78,1.7672555172413793,85.58620689655173,17.9333,-76.85,2024-11-01,2024,11,Nov,-0.45143981360786567
San Salvador,El Salvador,2024-06-01,24.127586206896552,50.0,1.7251095862068966,93.6896551724138,13.71,-89.2,2024-06-01,2024,6,Jun,0.1821828202303159
Conakry,Guinea,2025-08-01,24.91290322580645,48.34,4.347705032258065,94.96774193548387,9.5092,-13.7122,2025-08-01,2025,8,Aug,-1.1838305599394285
Conakry,Guinea,2025-07-01,24.929032258064513,47.77,3.984798903225807,93.70967741935483,9.5092,-13.7122,2025-07-01,2025,7,Jul,-1.1721442380212348
Freetown,Sierra Leone,2025-08-01,24.16774193548387,45.26,3.252714193548387,88.45161290322581,8.49,-13.2342,2025-08-01,2025,8,Aug,-1.4924058946017338
Laos,Indonesia,2024-12-01,24.809677419354838,44.07,1.3216951612903227,89.7741935483871,-8.1826,114.3188,2024-12-01,2024,12,Dec,-0.35314945019584365
Port Moresby,Papua New Guinea,2025-03-01,27.041935483870965,43.65,1.8037778709677421,87.2258064516129,-9.4647,147.1925,2025-03-01,2025,3,Mar,0.37230529060147116
Laos,Indonesia,2025-11-01,27.446666666666665,42.44,1.9787195333333336,79.06666666666666,-8.1826,114.3188,2025-11-01,2025,11,Nov,0.6381495100471436
Freetown,Sierra Leone,2025-09-01,24.366666666666667,42.26,2.0064975333333335,88.96666666666667,8.49,-13.2342,2025-09-01,2025,9,Sep,-1.3486054193476045
Conakry,Guinea,2024-07-01,26.186206896551724,41.39,3.7998388275862074,87.55172413793103,9.51,-13.71,2024-07-01,2024,7,Jul,-0.26125589099068786
Malabo,Equatorial Guinea,2025-07-01,25.938709677419357,41.01,2.434607290322581,93.38709677419355,3.75,8.7833,2025-07-01,2025,7,Jul,-0.9304865616241518
Hanoi,Vietnam,2024-09-01,29.83,40.51,3.2203961333333333,77.03333333333333,21.03,105.85,2024-09-01,2024,9,Sep,0.5053233745427732
Freetown,Sierra Leone,2024-07-01,26.24285714285714,39.32,3.6032034285714287,85.32142857142857,8.49,-13.23,2024-07-01,2024,7,Jul,0.007671804400603765
Kathmandu,Nepal,2025-07-01,27.625806451612902,38.519999999999996,1.7096910967741936,68.70967741935483,27.7167,85.3167,2025-07-01,2025,7,Jul,1.1374295944892385
Conakry,Guinea,2024-08-01,25.98709677419355,37.22,4.612044064516129,87.09677419354838,9.51,-13.71,2024-08-01,2024,8,Aug,-0.40552152018770293
Laos,Indonesia,2025-05-01,27.574193548387097,36.69,2.0053923870967743,81.54838709677419,-8.1826,114.3188,2025-05-01,2025,5,May,0.6860895103263882
Singapore,Singapore,2025-01-01,28.0,33.71,5.312766516129033,73.74193548387096,1.2931,103.8558,2025-01-01,2025,1,Jan,-1.4286908233045186
Nan,Thailand,2025-07-01,29.66774193548387,33.58,1.4811946451612903,77.51612903225806,18.7833,100.7833,2025-07-01,2025,7,Jul,-0.13596672481688607
Kathmandu,Nepal,2025-06-01,27.44,33.48,1.7648289333333336,64.56666666666666,27.7167,85.3167,2025-06-01,2025,6,Jun,1.0873451812173789
Malabo,Equatorial Guinea,2025-09-01,25.466666666666665,33.08,2.5222424000000006,95.3,3.75,8.7833,2025-09-01,2025,9,Sep,-1.2038706942814887
Freetown,Sierra Leone,2024-09-01,26.453333333333333,32.74,3.083358,85.73333333333333,8.49,-13.23,2024-09-01,2024,9,Sep,0.15982270107489718
Port Moresby,Papua New Guinea,2025-04-01,27.033333333333335,32.47,2.560205666666667,87.4,-9.4647,147.1925,2025-04-01,2025,4,Apr,0.3639068504130228
Bissau,Guinea-Bissau,2024-08-01,28.200000000000003,32.36,3.8459089032258067,79.6774193548387,11.85,-15.58,2024-08-01,2024,8,Aug,0.6674782393932601
Suva,Fiji Islands,2024-08-01,21.625806451612902,32.27,3.0851501290322583,85.19354838709677,-18.13,178.42,2024-08-01,2024,8,Aug,-1.9844349179090617
Laos,Indonesia,2025-02-01,25.907142857142855,31.7,1.3075501428571432,88.07142857142857,-8.1826,114.3188,2025-02-01,2025,2,Feb,0.059410573888785685
Addis Ababa,Ethiopia,2024-08-01,18.5258064516129,31.64,3.0304901935483874,73.74193548387096,9.03,38.7,2024-08-01,2024,8,Aug,-0.788279870635371
Dhaka,Bangladesh,2025-05-01,34.858064516129026,31.460000000000004,3.8136505806451617,45.12903225806452,23.7231,90.4086,2025-05-01,2025,5,May,1.3131051086565906
Kathmandu,Nepal,2025-08-01,26.80322580645161,31.46,1.4247425806451615,74.96774193548387,27.7167,85.3167,2025-08-01,2025,8,Aug,0.9157017232336068
